ISIN,POWERRANK,POWERRATING,TIMESTAMP
INF204K01G94,11,ON_TRACK,2026-03-01
INF179KC1IE0,1,IN_FORM,2026-03-01
INF740KA1NQ6,6,OUT_OF_FORM,2026-03-01
INF179KC1BY3,30,ON_TRACK,2026-03-01
INF843K01AL0,13,ON_TRACK,2026-03-01
INF903J01NK9,13,OFF_TRACK,2026-03-01
INF767K01FJ4,32,ON_TRACK,2026-03-01
INF959L01FP2,12,IN_FORM,2026-03-01
INF754K01QD2,,ON_TRACK,2026-03-01
INF090I01JS8,7,IN_FORM,2026-03-01
INF192K01BZ0,18,ON_TRACK,2026-03-01
INF397L01KU5,20,OUT_OF_FORM,2026-03-01
INF194K01V89,2,IN_FORM,2026-03-01
INF846K01EH3,19,OFF_TRACK,2026-03-01
INF209KC1589,,IN_FORM,2026-03-01
INF251K01HN7,15,ON_TRACK,2026-03-01
INF204K01XZ7,9,IN_FORM,2026-03-01
INF247L01DY9,,IN_FORM,2026-03-01
INF251K01PN0,19,OFF_TRACK,2026-03-01
INF582M01ES7,23,ON_TRACK,2026-03-01
INF03VN01761,6,ON_TRACK,2026-03-01
INF0K1H01065,41,OUT_OF_FORM,2026-03-01
INF846K017R3,5,IN_FORM,2026-03-01
INF582M01633,17,ON_TRACK,2026-03-01
INF959L01CD5,38,OUT_OF_FORM,2026-03-01
INF174K01KZ9,5,IN_FORM,2026-03-01
INF740K01NO5,8,ON_TRACK,2026-03-01
INF200K01RM5,12,OFF_TRACK,2026-03-01
INF760K01EL8,21,ON_TRACK,2026-03-01
INF22M001077,14,ON_TRACK,2026-03-01
INF789FB1RG6,10,IN_FORM,2026-03-01
INF174KA1WN9,,IN_FORM,2026-03-01
INF582M01LA0,15,ON_TRACK,2026-03-01
INF200K01RV6,1,IN_FORM,2026-03-01
INF174K01D28,1,IN_FORM,2026-03-01
INF200KB1563,6,IN_FORM,2026-03-01
INF209KB1W74,12,ON_TRACK,2026-03-01
INF789F01VE6,8,ON_TRACK,2026-03-01
INF03VN01597,3,IN_FORM,2026-03-01
INF754K01NR9,2,IN_FORM,2026-03-01
INF769K01AX2,17,ON_TRACK,2026-03-01
INF109KC11D8,5,ON_TRACK,2026-03-01
INF769K01MJ6,5,ON_TRACK,2026-03-01
INF760K01JW4,10,ON_TRACK,2026-03-01
INF174K01F00,7,IN_FORM,2026-03-01
INF966L01986,14,ON_TRACK,2026-03-01
INF966L01CD0,9,OFF_TRACK,2026-03-01
INF754K01OX5,1,IN_FORM,2026-03-01
INF204K01YC4,9,IN_FORM,2026-03-01
INF277K01Z10,2,IN_FORM,2026-03-01
INF740KA1MM7,2,IN_FORM,2026-03-01
INF917K01HD4,1,IN_FORM,2026-03-01
INF754K01CA8,24,ON_TRACK,2026-03-01
INF200KA1W00,6,IN_FORM,2026-03-01
INF966L01580,1,IN_FORM,2026-03-01
INF204KB18Z7,8,IN_FORM,2026-03-01
INF789F01TF7,37,OUT_OF_FORM,2026-03-01
INF194KB1IT0,9,IN_FORM,2026-03-01
INF789F1A777,3,IN_FORM,2026-03-01
INF109K01Y49,2,IN_FORM,2026-03-01
INF200K01RP8,5,IN_FORM,2026-03-01
INF760K01FR2,9,ON_TRACK,2026-03-01
INF194KB1CR7,15,IN_FORM,2026-03-01
INF789F01UA6,28,OUT_OF_FORM,2026-03-01
INF959L01HO1,,IN_FORM,2026-03-01
INF740KA1UO6,4,IN_FORM,2026-03-01
INF336L01QN5,10,ON_TRACK,2026-03-01
INF200K01TP4,20,OFF_TRACK,2026-03-01
INF397L01BU4,1,IN_FORM,2026-03-01
INF194KB1DJ2,13,ON_TRACK,2026-03-01
INF109KA1UA0,1,IN_FORM,2026-03-01
INF109KC1Y98,4,IN_FORM,2026-03-01
INF903J01F92,12,OFF_TRACK,2026-03-01
INF200K01UJ5,7,IN_FORM,2026-03-01
INF174KA1NB3,,ON_TRACK,2026-03-01
INF109KC1YD4,4,IN_FORM,2026-03-01
INF109KA11J9,13,ON_TRACK,2026-03-01
INF204K01F95,8,ON_TRACK,2026-03-01
INF251K01RF2,7,ON_TRACK,2026-03-01
INF336L01EE0,17,ON_TRACK,2026-03-01
INF767K01QY0,22,OFF_TRACK,2026-03-01
INF090I01PD7,16,OFF_TRACK,2026-03-01
INF109K011N7,7,IN_FORM,2026-03-01
INF204K01I92,5,IN_FORM,2026-03-01
INF200K01UP2,2,IN_FORM,2026-03-01
INF200KB1233,1,IN_FORM,2026-03-01
INF740K01OB0,13,ON_TRACK,2026-03-01
INF789F1AUT5,2,IN_FORM,2026-03-01
INF174K01LT0,8,IN_FORM,2026-03-01
INF277KA1DZ9,15,ON_TRACK,2026-03-01
INF966L01911,14,ON_TRACK,2026-03-01
INF959L01GR6,19,ON_TRACK,2026-03-01
INF22M001051,9,ON_TRACK,2026-03-01
INF0QA701342,11,IN_FORM,2026-03-01
INF179KC1GC8,13,ON_TRACK,2026-03-01
INF959L01FX6,6,IN_FORM,2026-03-01
INF247L01AV1,6,ON_TRACK,2026-03-01
INF174KA1VQ4,10,IN_FORM,2026-03-01
INF767K01NE9,25,OUT_OF_FORM,2026-03-01
INF109K012B0,4,IN_FORM,2026-03-01
INF109KC11A4,1,IN_FORM,2026-03-01
INF200K01RS2,16,OFF_TRACK,2026-03-01
INF740KA1MG9,3,IN_FORM,2026-03-01
INF00XX01168,15,OFF_TRACK,2026-03-01
INF179KC1BG0,8,ON_TRACK,2026-03-01
INF251K01SD5,21,OUT_OF_FORM,2026-03-01
INF179K01VC4,13,ON_TRACK,2026-03-01
INF204K01G52,3,IN_FORM,2026-03-01
INF789F01SK9,6,IN_FORM,2026-03-01
INF194KB1IO1,7,IN_FORM,2026-03-01
INF680P01208,26,OUT_OF_FORM,2026-03-01
INF754K01EA4,5,IN_FORM,2026-03-01
INF205K01MA0,8,IN_FORM,2026-03-01
INF204K01E54,5,IN_FORM,2026-03-01
INF109K016O4,11,IN_FORM,2026-03-01
INF754K01RS8,12,OUT_OF_FORM,2026-03-01
INF397L01AW2,8,IN_FORM,2026-03-01
INF760K01EZ8,17,OFF_TRACK,2026-03-01
INF082J01069,16,ON_TRACK,2026-03-01
INF767K01EO7,17,OFF_TRACK,2026-03-01
INF582M01DE9,24,OUT_OF_FORM,2026-03-01
INF044D01CD3,19,OUT_OF_FORM,2026-03-01
INF247L01EA7,,IN_FORM,2026-03-01
INF769K01DH9,11,ON_TRACK,2026-03-01
INF740K01PR3,14,ON_TRACK,2026-03-01
INF00XX01440,15,ON_TRACK,2026-03-01
INF00XX01BU6,10,OFF_TRACK,2026-03-01
INF917K01GE4,7,IN_FORM,2026-03-01
INF223J01QD0,21,OUT_OF_FORM,2026-03-01
INF754K01CE0,3,IN_FORM,2026-03-01
INF754K01NJ6,,IN_FORM,2026-03-01
INF179K01VX0,7,IN_FORM,2026-03-01
INF247L01999,5,IN_FORM,2026-03-01
INF179K01WA6,1,IN_FORM,2026-03-01
INF194KB1JC4,2,IN_FORM,2026-03-01
INF209K01VP1,4,IN_FORM,2026-03-01
INF740K01PX1,25,OFF_TRACK,2026-03-01
INF247L01569,8,IN_FORM,2026-03-01
INF194KB1DV7,2,IN_FORM,2026-03-01
INF769K01BI1,11,ON_TRACK,2026-03-01
INF666M01JK4,,IN_FORM,2026-03-01
INF209K01WN4,17,OFF_TRACK,2026-03-01
INF789F01VB2,18,OFF_TRACK,2026-03-01
INF00XX01747,4,IN_FORM,2026-03-01
INF174K01KT2,24,OUT_OF_FORM,2026-03-01
INF179K01XT4,8,ON_TRACK,2026-03-01
INF205K01LN5,19,OFF_TRACK,2026-03-01
INF582M01FS4,22,OUT_OF_FORM,2026-03-01
INF109KB10X0,26,ON_TRACK,2026-03-01
INF247L01BQ9,,OFF_TRACK,2026-03-01
INF209K01Q30,26,OUT_OF_FORM,2026-03-01
INF740KA1VB1,8,IN_FORM,2026-03-01
INF740KA1WR5,,ON_TRACK,2026-03-01
INF251K01HR8,11,ON_TRACK,2026-03-01
INF277K01ND1,19,OFF_TRACK,2026-03-01
INF903JA1JC0,24,OUT_OF_FORM,2026-03-01
INF109K018M4,3,IN_FORM,2026-03-01
INF277K013S8,12,ON_TRACK,2026-03-01
INF204K01K15,6,IN_FORM,2026-03-01
INF277K01QZ7,11,ON_TRACK,2026-03-01
INF174V01BE0,9,IN_FORM,2026-03-01
INF174KA1RZ3,1,IN_FORM,2026-03-01
INF03VN01738,6,IN_FORM,2026-03-01
INF846KA1044,,ON_TRACK,2026-03-01
INF917K01FZ1,10,ON_TRACK,2026-03-01
INF247L01957,2,IN_FORM,2026-03-01
INF789F01SW4,7,OFF_TRACK,2026-03-01
INF966L01614,19,OFF_TRACK,2026-03-01
INF767K01EM1,35,OUT_OF_FORM,2026-03-01
INF200KB1688,,IN_FORM,2026-03-01
INF205KA1213,12,ON_TRACK,2026-03-01
INF769K01KK8,6,IN_FORM,2026-03-01
INF179KC1GG9,5,IN_FORM,2026-03-01
INF761K01ED3,25,ON_TRACK,2026-03-01
INF579M01AS1,28,OFF_TRACK,2026-03-01
INF740K01PU7,2,IN_FORM,2026-03-01
INF00XX01804,22,OFF_TRACK,2026-03-01
INF174KA1TM7,,ON_TRACK,2026-03-01
INF846K01EA8,15,OFF_TRACK,2026-03-01
INF666M01IX9,17,ON_TRACK,2026-03-01
INF174V01341,3,IN_FORM,2026-03-01
INF194K01W21,15,ON_TRACK,2026-03-01
INF109KC16T3,,ON_TRACK,2026-03-01
INF174KA1FI4,4,ON_TRACK,2026-03-01
INF843K01KC8,5,IN_FORM,2026-03-01
INF966L01AN3,14,ON_TRACK,2026-03-01
INF090I01GY2,8,ON_TRACK,2026-03-01
INF200KA1R07,1,IN_FORM,2026-03-01
INF789F1AVD7,25,ON_TRACK,2026-03-01
INF582M01GY0,21,OFF_TRACK,2026-03-01
INF200K01QX4,5,IN_FORM,2026-03-01
INF789F01UJ7,9,ON_TRACK,2026-03-01
INF194K01Y29,9,IN_FORM,2026-03-01
INF209KB1U76,5,ON_TRACK,2026-03-01
INF903J01NH5,13,OFF_TRACK,2026-03-01
INF00XX01CS8,4,IN_FORM,2026-03-01
