ENTITYID,CREATEDAT,RETURN_VALUE,ROLLING_PERIOD,TENURE_UNIT
ARBITRAGE_FUND,2026-03-01 10:00:43.269 +0530,7.418359024,12,MONTH
ARBITRAGE_FUND,2026-03-01 10:00:43.269 +0530,5.711578564,60,MONTH
ARBITRAGE_FUND,2026-03-01 10:00:43.269 +0530,6.144410796,36,MONTH
AGGRESSIVE_ALLOCATION,2026-03-01 10:00:43.269 +0530,17.638201769,36,MONTH
AGGRESSIVE_ALLOCATION,2026-03-01 10:00:43.269 +0530,16.249924764,60,MONTH
AGGRESSIVE_ALLOCATION,2026-03-01 10:00:43.269 +0530,17.93092798,12,MONTH
Nifty500 Shariah,2026-03-01 10:00:40.290 +0530,16.282634988,36,MONTH
Nifty500 Shariah,2026-03-01 10:00:40.290 +0530,17.511656442,60,MONTH
Nifty500 Shariah,2026-03-01 10:00:40.290 +0530,14.842829756,12,MONTH
Nifty500 Multicap Momentum Quality 50,2026-03-01 10:00:40.290 +0530,20.802616282,12,MONTH
Nifty500 Multicap Momentum Quality 50,2026-03-01 10:00:40.290 +0530,21.678851273,36,MONTH
Nifty500 Multicap Momentum Quality 50,2026-03-01 10:00:40.290 +0530,22.61076798,60,MONTH
Nifty500 Multicap Infrastructure 50:30:20,2026-03-01 10:00:40.290 +0530,18.209666806,12,MONTH
Nifty500 Multicap Infrastructure 50:30:20,2026-03-01 10:00:40.290 +0530,19.582624421,36,MONTH
Nifty500 Multicap Infrastructure 50:30:20,2026-03-01 10:00:40.290 +0530,21.00070702,60,MONTH
Nifty500 Multicap India Manufacturing 50:30:20,2026-03-01 10:00:40.290 +0530,18.898964931,36,MONTH
Nifty500 Multicap India Manufacturing 50:30:20,2026-03-01 10:00:40.290 +0530,20.516222414,60,MONTH
Nifty500 Multicap India Manufacturing 50:30:20,2026-03-01 10:00:40.290 +0530,17.821807617,12,MONTH
Nifty500 Multicap 50:25:25,2026-03-01 10:00:40.290 +0530,17.443783718,36,MONTH
Nifty500 Multicap 50:25:25,2026-03-01 10:00:40.290 +0530,18.835641227,60,MONTH
Nifty500 Multicap 50:25:25,2026-03-01 10:00:40.290 +0530,16.926193728,12,MONTH
Nifty500 Momentum 50,2026-03-01 10:00:40.290 +0530,24.336521798,60,MONTH
Nifty500 Momentum 50,2026-03-01 10:00:40.290 +0530,21.919331936,12,MONTH
Nifty500 Momentum 50,2026-03-01 10:00:40.290 +0530,22.750883681,36,MONTH
Nifty500 LargeMidSmall Equal-Cap Weighted,2026-03-01 10:00:40.290 +0530,19.800367611,60,MONTH
Nifty500 LargeMidSmall Equal-Cap Weighted,2026-03-01 10:00:40.290 +0530,18.324370139,36,MONTH
Nifty500 LargeMidSmall Equal-Cap Weighted,2026-03-01 10:00:40.290 +0530,17.672820196,12,MONTH
Nifty500 Equal Weight,2026-03-01 10:00:40.290 +0530,17.470184347,12,MONTH
Nifty500 Equal Weight,2026-03-01 10:00:40.290 +0530,18.489381944,36,MONTH
Nifty500 Equal Weight,2026-03-01 10:00:40.290 +0530,20.123992611,60,MONTH
Nifty50 Value 20,2026-03-01 10:00:40.290 +0530,18.776010855,36,MONTH
Nifty50 Value 20,2026-03-01 10:00:40.290 +0530,19.873934233,60,MONTH
Nifty50 Value 20,2026-03-01 10:00:40.290 +0530,18.477166969,12,MONTH
Nifty50 Shariah,2026-03-01 10:00:40.290 +0530,13.474890069,36,MONTH
Nifty50 Shariah,2026-03-01 10:00:40.290 +0530,12.216102927,12,MONTH
Nifty50 Shariah,2026-03-01 10:00:40.290 +0530,14.390151534,60,MONTH
Nifty200 Value 30,2026-03-01 10:00:40.290 +0530,23.737112054,60,MONTH
Nifty200 Value 30,2026-03-01 10:00:40.290 +0530,22.368036921,36,MONTH
Nifty200 Value 30,2026-03-01 10:00:40.290 +0530,21.979280517,12,MONTH
Nifty200 Momentum 30,2026-03-01 10:00:40.290 +0530,18.997683554,12,MONTH
Nifty200 Momentum 30,2026-03-01 10:00:40.290 +0530,20.709857301,60,MONTH
Nifty200 Momentum 30,2026-03-01 10:00:40.290 +0530,19.603085681,36,MONTH
Nifty200 Alpha 30,2026-03-01 10:00:40.290 +0530,22.771512192,60,MONTH
Nifty200 Alpha 30,2026-03-01 10:00:40.290 +0530,21.854548148,36,MONTH
Nifty200 Alpha 30,2026-03-01 10:00:40.290 +0530,21.158591195,12,MONTH
Nifty100 Low Volatility 30,2026-03-01 10:00:40.290 +0530,15.766139145,36,MONTH
Nifty100 Low Volatility 30,2026-03-01 10:00:40.290 +0530,16.459371411,60,MONTH
Nifty100 Low Volatility 30,2026-03-01 10:00:40.290 +0530,15.623017979,12,MONTH
Nifty100 Liquid 15,2026-03-01 10:00:40.290 +0530,10.98157561,12,MONTH
Nifty100 Liquid 15,2026-03-01 10:00:40.290 +0530,9.524022402,36,MONTH
Nifty100 Liquid 15,2026-03-01 10:00:40.290 +0530,10.851140736,60,MONTH
Nifty100 Equal Weight,2026-03-01 10:00:40.290 +0530,15.478331986,36,MONTH
Nifty100 Equal Weight,2026-03-01 10:00:40.290 +0530,15.017673519,12,MONTH
Nifty100 Equal Weight,2026-03-01 10:00:40.290 +0530,16.733810552,60,MONTH
Nifty100 ESG Sector Leaders,2026-03-01 10:00:40.290 +0530,15.026782927,12,MONTH
Nifty100 ESG Sector Leaders,2026-03-01 10:00:40.290 +0530,14.506114896,36,MONTH
Nifty100 ESG Sector Leaders,2026-03-01 10:00:40.290 +0530,15.317939018,60,MONTH
Nifty Transportation & Logistics,2026-03-01 10:00:40.290 +0530,19.789267651,60,MONTH
Nifty Transportation & Logistics,2026-03-01 10:00:40.290 +0530,18.551913657,36,MONTH
Nifty Transportation & Logistics,2026-03-01 10:00:40.290 +0530,17.360731704,12,MONTH
Nifty Total Market,2026-03-01 10:00:40.290 +0530,16.045919907,36,MONTH
Nifty Total Market,2026-03-01 10:00:40.290 +0530,15.854825367,12,MONTH
Nifty Total Market,2026-03-01 10:00:40.290 +0530,17.2159133,60,MONTH
Nifty Top 20 Equal Weight,2026-03-01 10:00:40.290 +0530,17.001412438,60,MONTH
Nifty Top 20 Equal Weight,2026-03-01 10:00:40.290 +0530,16.258149126,12,MONTH
Nifty Top 20 Equal Weight,2026-03-01 10:00:40.290 +0530,15.929894329,36,MONTH
Nifty Top 15 Equal Weight,2026-03-01 10:00:40.290 +0530,16.229042241,60,MONTH
Nifty Top 15 Equal Weight,2026-03-01 10:00:40.290 +0530,16.302271768,12,MONTH
Nifty Top 15 Equal Weight,2026-03-01 10:00:40.290 +0530,15.111209144,36,MONTH
Nifty Top 10 Equal Weight,2026-03-01 10:00:40.290 +0530,15.41071169,36,MONTH
Nifty Top 10 Equal Weight,2026-03-01 10:00:40.290 +0530,16.769530538,12,MONTH
Nifty Top 10 Equal Weight,2026-03-01 10:00:40.290 +0530,16.23612032,60,MONTH
Nifty Smallcap250 Quality 50,2026-03-01 10:00:40.290 +0530,20.706371908,12,MONTH
Nifty Smallcap250 Quality 50,2026-03-01 10:00:40.290 +0530,22.088570949,36,MONTH
Nifty Smallcap250 Quality 50,2026-03-01 10:00:40.290 +0530,24.044987808,60,MONTH
Nifty Smallcap250 Momentum Quality 100,2026-03-01 10:00:40.290 +0530,20.6591529,12,MONTH
Nifty Smallcap250 Momentum Quality 100,2026-03-01 10:00:40.290 +0530,21.133269792,36,MONTH
Nifty Smallcap250 Momentum Quality 100,2026-03-01 10:00:40.290 +0530,23.099768966,60,MONTH
Nifty Smallcap 50,2026-03-01 10:00:40.290 +0530,15.307349654,36,MONTH
Nifty Smallcap 50,2026-03-01 10:00:40.290 +0530,16.452779721,12,MONTH
Nifty Smallcap 50,2026-03-01 10:00:40.290 +0530,16.688645644,60,MONTH
Nifty Smallcap 250,2026-03-01 10:00:40.290 +0530,21.341956196,60,MONTH
Nifty Smallcap 250,2026-03-01 10:00:40.290 +0530,18.724800836,12,MONTH
Nifty Smallcap 250,2026-03-01 10:00:40.290 +0530,19.439586836,36,MONTH
Nifty Shariah 25,2026-03-01 10:00:40.290 +0530,12.965679792,36,MONTH
Nifty Shariah 25,2026-03-01 10:00:40.290 +0530,12.058851359,12,MONTH
Nifty Shariah 25,2026-03-01 10:00:40.290 +0530,13.754782454,60,MONTH
